img,path_origin,Objeto,Classe,n_contorno,Área,Diâmetro,Minor,Centroide_X,Centroide_Y
076.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\076.JPEG,,,0,10364.5000000000,0.000000000000000,0.000000000000000,7.0000,0.0000
076.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\076.JPEG,,,1,10250.5000000000,0.000000000000000,0.000000000000000,8.0000,0.0000
076.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\076.JPEG,,,2,2543.0000000000,5.656854249492381,2.913725436338734,174.1429,2.1429
076.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\076.JPEG,,,3,2074.5000000000,3.464101615137754,1.414213562373095,176.2500,0.7500
079.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\079.JPEG,,,0,8701.5000000000,3.265986323710904,0.000000000000000,73.0000,1.0000
079.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\079.JPEG,,,1,8264.0000000000,0.000000000000000,0.000000000000000,77.0000,0.0000
079.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\079.JPEG,,,2,554.5000000000,9.165151389911680,0.000000000000000,53.0000,3.5000
079.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\079.JPEG,,,3,526.5000000000,9.259610333107229,1.122326369205424,54.2500,3.5000
080.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\080.JPEG,,,0,14239.0000000000,2.000000000000000,0.000000000000000,70.5000,0.0000
080.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\080.JPEG,,,1,14053.0000000000,2.000000000000000,0.000000000000000,75.5000,0.0000
080.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\080.JPEG,,,2,11813.0000000000,0.000000000000000,0.000000000000000,17.0000,0.0000
080.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\080.JPEG,,,3,11768.0000000000,0.000000000000000,0.000000000000000,18.0000,0.0000
080.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\080.JPEG,,,4,9634.0000000000,0.000000000000000,0.000000000000000,7.0000,0.0000
081.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\081.JPEG,,,0,6763.0000000000,4.472135954999580,0.000000000000000,49.0000,1.5000
081.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\081.JPEG,,,1,6369.5000000000,4.472135954999580,0.000000000000000,54.0000,1.5000
081.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\081.JPEG,,,2,134.0000000000,4.472135954999580,0.000000000000000,5.0000,1.5000
081.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\081.JPEG,,,3,123.5000000000,2.000000000000000,0.000000000000000,7.0000,0.5000
082.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\082.JPEG,,,0,8302.0000000000,0.000000000000000,0.000000000000000,23.0000,0.0000
082.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\082.JPEG,,,1,8235.0000000000,0.000000000000000,0.000000000000000,24.0000,0.0000
082.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\082.JPEG,,,2,7508.5000000000,2.000000000000000,0.000000000000000,18.5000,0.0000
082.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\082.JPEG,,,3,7483.5000000000,3.265986323710904,0.000000000000000,21.0000,0.0000
082.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\082.JPEG,,,4,6830.0000000000,0.000000000000000,0.000000000000000,14.0000,0.0000
085.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\085.JPEG,,,0,14984.0000000000,4.776775537870610,1.668057391339081,307.2000,0.4000
085.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\085.JPEG,,,1,14780.0000000000,4.079215610874228,2.529822128134704,319.4000,1.0000
085.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\085.JPEG,,,2,12371.0000000000,4.686513147372668,1.906985715600180,108.8000,0.6000
085.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\085.JPEG,,,3,12299.0000000000,3.577708763999663,1.959591794226543,112.4000,1.0000
085.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\085.JPEG,,,4,9672.5000000000,5.033222956847166,1.885618083164127,20.5000,0.6667
092.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\092.JPEG,,,0,9906.0000000000,2.000000000000000,0.000000000000000,240.5000,1.0000
092.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\092.JPEG,,,1,9896.0000000000,2.000000000000000,0.000000000000000,246.5000,1.0000
092.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\092.JPEG,,,2,663.0000000000,2.000000000000000,0.000000000000000,238.5000,1.0000
021.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\laplaciano\021.JPEG,,,0,68900.5000000000,4.318667337728677,3.679464844031199,287.6154,6.6154
021.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\laplaciano\021.JPEG,,,1,66508.5000000000,2.000000000000000,2.000000000000000,447.5000,5.5000
021.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\laplaciano\021.JPEG,,,2,1102.5000000000,19.489045764668695,2.814604741456738,487.4615,22.4103
021.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\laplaciano\021.JPEG,,,3,199.5000000000,8.000000000000000,2.000000000000000,511.5000,3.0000
052.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\laplaciano\052.JPEG,,,0,684.5000000000,13.091133555875818,2.065591117977291,750.6667,4.3333
052.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\laplaciano\052.JPEG,,,1,329.0000000000,8.335593656921944,1.734264773628876,674.5714,3.0000
052.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\laplaciano\052.JPEG,,,2,148.5000000000,6.708212850324655,4.542304857224322,530.8571,1.1429
006.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\logaritmo\006.JPEG,,,0,9710.5000000000,0.000000000000000,0.000000000000000,48.0000,0.0000
006.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\logaritmo\006.JPEG,,,1,9426.5000000000,0.000000000000000,0.000000000000000,49.0000,0.0000
006.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\logaritmo\006.JPEG,,,2,240.5000000000,0.000000000000000,0.000000000000000,53.0000,0.0000
006.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\logaritmo\006.JPEG,,,3,60.0000000000,0.000000000000000,0.000000000000000,50.0000,0.0000
007.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\logaritmo\007.JPEG,,,0,2127.5000000000,4.155374705678736,1.905471133100374,288.7143,0.5714
